nokia-conf | /configure/aaa/diameter/node[origin-host=*]/connection/ipv6/allow-connections | boolean
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/connection/timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/address | types-sros:ip-unicast-address
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/destination-host | types-diam:diam-fqdn
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/connection-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/preference | uint32
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/watchdog-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/peer[index=*]/default-peer | boolean
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/description | types-sros:description
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/origin-realm | types-diam:diam-fqdn
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/python-policy | leafref
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/router-instance | string
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/applications/gx | boolean
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/applications/gy | boolean
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/applications/nasreq | boolean
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/proxy/mcs-peer/address | leafref
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/proxy/mcs-peer/sync-tag | types-sros:named-item
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/proxy/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/proxy/router-instance | string
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/proxy/local-address | types-sros:ip-unicast-address
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/transport/port-number | uint32
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/address | types-sros:ip-unicast-address
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/destination-host | types-sros:string-not-all-spaces
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/destination-realm | types-sros:string-not-all-spaces
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/watchdog-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/connection-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/transaction-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/preference | uint32
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/description | types-sros:description
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/origin-host | string
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/origin-realm | string
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/router-instance | string
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/ipv4-source-address | types-sros:ipv4-unicast-address
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/ipv6-source-address | types-sros:ipv6-unicast-address
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/watchdog-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/connection-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/transaction-timer | types-sros:time-duration
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/vendor-support | types-diam:diam-vendor-support
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/python-policy | leafref
nokia-conf | /configure/aaa/diameter/peer-policy[name=*]/role | enumeration
nokia-conf | /configure/aaa/wpp/portal-group[group-name=*]/portal[router-instance=*][name=*]/router-instance | string
nokia-conf | /configure/aaa/wpp/portal-group[group-name=*]/portal[router-instance=*][name=*]/name | types-sros:named-item
nokia-conf | /configure/aaa/wpp/portal-group[group-name=*]/description | types-sros:description
nokia-conf | /configure/aaa/wpp/portal-group[group-name=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/wpp/system-name | string
nokia-conf | /configure/bfd/seamless-bfd/reflector[name=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/bfd/seamless-bfd/reflector[name=*]/discriminator | uint32
nokia-conf | /configure/bfd/seamless-bfd/reflector[name=*]/description | types-sros:description
nokia-conf | /configure/bfd/seamless-bfd/reflector[name=*]/local-state | enumeration
nokia-conf | /configure/bfd/bfd-template[name=*]/echo-receive | uint32
nokia-conf | /configure/bfd/bfd-template[name=*]/multiplier | uint32
nokia-conf | /configure/bfd/bfd-template[name=*]/receive-interval | uint32
nokia-conf | /configure/bfd/bfd-template[name=*]/transmit-interval | uint32
nokia-conf | /configure/bfd/bfd-template[name=*]/type | enumeration
nokia-conf | /configure/bmp/collector/connection/ipv4/address | types-sros:ipv4-unicast-address
nokia-conf | /configure/bmp/collector/connection/ipv4/port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/bmp/collector/connection/ipv6/address | types-sros:ipv6-unicast-address
nokia-conf | /configure/bmp/collector/connection/ipv6/port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/bmp/collector/admin-state | types-sros:admin-state
nokia-conf | /configure/bmp/station[name=*]/connection/station-address/ip-address | types-sros:ip-unicast-address
nokia-conf | /configure/bmp/station[name=*]/connection/station-address/port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/bmp/station[name=*]/connection/tcp-keepalive/admin-state | types-sros:admin-state
nokia-conf | /configure/bmp/station[name=*]/connection/tcp-keepalive/keep-idle | types-sros:time-duration
nokia-conf | /configure/bmp/station[name=*]/connection/tcp-keepalive/keep-interval | types-sros:time-duration
nokia-conf | /configure/bmp/station[name=*]/connection/tcp-keepalive/keep-count | uint32
nokia-conf | /configure/bmp/station[name=*]/connection/connect-retry | types-sros:time-duration
nokia-conf | /configure/bmp/station[name=*]/connection/local-address | types-sros:ip-unicast-address
nokia-conf | /configure/bmp/station[name=*]/connection/router-instance | string
nokia-conf | /configure/bmp/station[name=*]/family/ipv4 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/ipv6 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/label-ipv4 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/label-ipv6 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/mcast-ipv4 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/mcast-ipv6 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/vpn-ipv4 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/vpn-ipv6 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/mcast-vpn-ipv4 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/mcast-vpn-ipv6 | boolean
nokia-conf | /configure/bmp/station[name=*]/family/evpn | boolean
nokia-conf | /configure/bmp/station[name=*]/family/l2-vpn | boolean
nokia-conf | /configure/bmp/station[name=*]/description | types-sros:description
nokia-conf | /configure/bmp/station[name=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/bmp/station[name=*]/initiation-message | string
nokia-conf | /configure/bmp/station[name=*]/stats-report-interval | types-sros:time-duration
nokia-conf | /configure/bmp/station[name=*]/report-local-routes | boolean
nokia-conf | /configure/bmp/admin-state | types-sros:admin-state
nokia-conf | /configure/call-trace/location[location-type=*]/admin-state | types-sros:admin-state
