nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gy-credit-control-initial-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gy-credit-control-update-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gy-credit-control-terminate-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gy-re-authorization-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gy-session-abbort-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gx-credit-control-initial-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gx-credit-control-update-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gx-credit-control-terminate-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gx-re-authorization-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/gx-session-abbort-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/psm-state | types-diam:diam-peer-state
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/connection-suspended | boolean
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/cooldown-sequence-stage | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/order | union
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/primary-secondary | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/tc-timer-time-left | types-sros:time-duration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/tt-timer-time-left | types-sros:time-duration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/tw-timer-time-left | types-sros:time-duration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/watchdog-algorithm-active | boolean
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/watchdog-answer-pending | boolean
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/cooldown-sequence-pending | boolean
